,Cleaned tweet,Tag
0,They caught the suspect he is a Colombian national It is no surprise violence is part of the immigrant of Colombian origin it is his culture,1
1,When they realize that they were murderers or drug traffickers and they are caught they will say we have found this illegal immigrant who was a criminal,1
2,Hahaha you were good there you can see YOUR SUDACA HEAD AND A BAD PAYER they have it in their DNA those pieces of paper for serious countries is a commitment for you and for the Sudacas not,1
3,Here we can see a German with blonde hair blue eyes beating a shitty black man who is at his best,1
4,compatriots died because of an immigrant who should never have set foot in Chile and you have the luxury of not meeting By their inaction they are complicit in these deaths More heavyhanded with the Illegals,1
5,Theres a shitty black guy who steals our light from outside our house Yes the little light Q black you fucking rat,1
6,What did the immigrant from the highlands say He has me blocked,1
7,It doesnt matter if they were homeless and Chileans immigrants care more about giving them everything for free So you know if an immigrant kills you justice and the government will not give a damn Do not forget,1
8,A working Chilean must wait years to be able to rent an apartment if he has fallen n dicom Its like a life sentence an immigrant even revels in the offers the owner there doesnt care if they have a criminal record he even lays out the red carpet for them,1
9,The Harris model is a creation of Carolina Herrera one of the most iconic brands in the United States and founded in by a Venezuelan woman an immigrant By,1
10,THE HEADLINE SHOULD MENTION THAT THE KILLER IS A COLOMBIAN IMMIGRANT,1
11,Fucking black If I catch it Ill bust it Or at least I try,1
12,Stop panchito Colombia this one came to go and straighten his teeth and fix his swordswallowing face They sure killed the dad who threatened the police with a gun and blamed the police,1
13,Sons of thousands of whores They are corrupt and on top of that they have no fucking criteria Meanwhile Damicos son of a bitch continues sucking the cock of Tapias shitty black man,1
14,but what is that fucking crazy black guy doing,1
15,Of course Cabal forgets to say that the murderer was a Colombian immigrant When is the death penalty When is the mass expulsion of foreign criminals,1
16,Im glad about the injury to the fucking black man from the failure due to the media inflation of the Culerda press and part of the Spanish press to suck,1
17,That moment is after Tevezs black shit hits his forearm and the ball bounces into the goalkeepers hand No wonder they call them bosteros they are all idiots,1
18,The milis and their boyfriends look at him as horny that shitty black guy is disgusting and not even funny,1
19,let me guess immigrant narco any brand or special way to sign your work sooner rather than later the shit they put together is going to arrive at their door,1
20,Youre an ape youre a fucking ape you have neurons and sometimes they dont connect youre a fucking ape I dont think anyone has ever described so accurately how much subnormality there is in this body thank you,1
21,Hahaha immigrant will be Colombian How do they allow that kind of people to enter and just like that there must be many more milling around there,1
22,Unpopular opinion as a Bogota native I dont care about a Venezuelan immigrant or a paisacosteocaleoetc immigrant The difference is nothing more than a piece of paper,1
23,Well there enriching the culture and contributing to Chile Wasnt that the slogan to allow the arrival of so many immigrants,1
24,You have to kick it in the shameless immigrant crack,1
25,scammer host family in another country immigrant,1
26,Why are we going to ask if he is an immigrant,1
27,Hello a Colombian immigrant murdered people in days here in Chile are we generalizing or would it be xenophobia,1
28,Always the shitty black guy from Tvez its bullshit,1
29,To have I mean he is uneducated because he is not progressive he is xenophobic because he limits the entry of foreigners and it is bad to be patriotic I tell you panchito in your way of thinking I prefer to be uneducated xenophobic and of course patriotic than to be progressive And the last word has not yet been said in the USA,1
30,What a son of a bitch this shitty nigger See if youre going to kick your sisters pussy like this,1
31,With so many immigrants everything is out of control while the canaries are locked up at home they are in groups without masks on the beach they walk all the streets they have fun in the amusement park and it doesnt matter they do what they want they drink in the streets,1
32,Go sell drugs shitty nigga,1
33,NO whats wrong with you because an immigrant who has been there for less than years is going to participate in drafting a constitution It seems like he doesnt understand anything independent Chileans cant and foreigners can,1
34,Bad shit black hdmp,1
35,If he who does not conform it is because he does not want to What a cool immigrant,1
36,I tell you an immigrant who did not want to go where they were taken goes and climbs up the mountain starts throwing stones there you have the helicopter the police the firefighters I still dont know if they have managed to get him down Now I go call the fire brigade for a fire and they charge me,1
37,here the STATE US Banking the travels of this Bolivian criminal fart Will he be immune to COVID USE A MASK THAT SHIT YOU BLACK,1
38,What a black shit this burnt son of a bitch from Tevez,1
39,Tvez black shit macrista,1
40,Bad dirty dirty shit nigga They are everything that is wrong,1
41,It wasnt a collision with your mothers pussy that shitty black guy Tevez always puts the iron on,1
42,The Spaniards know a lot about that I only ask them to make me improve and master one of the languages that I love most in the world In Spain and only with Spaniards without any South Africa in between I spent my best summer in the most important year of my life,1
43,IMPRESSIVE RESCUE in the Canary Islands of an immigrant who was throwing BIG PIs via Refugees of course they are not since in Algeria or Morocco there is no war,1
44,Immigrants the word is,1
45,You have bad temper you sorete you fucking nigger,1
46,Leave them there you fucking nigger,1
47,Incredible guevonsote you are an illegal immigrant,1
48,This shitty nigga looking at my friends things Im going to shit him,1
49,I saw another video of another naked immigrant running down the street also that of a woman I mean they bring people with psychiatric problems to Chile and you see it as very normal,1
50,Loving sudaca poverty and failure,1
51,What a shame this immigrant did not demand it in her country and she comes to demand it from us they did not support her compatriots and she comes to cause public disorder in Chile,1
52,Like who does the USA exploit in Sudaca You and your mediocrities your inability to get ahead on your own want to blame someone for your misfortune You have corruption in your blood And thats why none of them work To cry for his mom,1
53,I hope you dont come back to my country again Fucking black man pedophile drug trafficker communist HDP,1
54,Germany A Muslim immigrant receives years for killing a firefighter and a German receives years for a firecracker in a mosque,1
55,Yeah Id rather pay for an abortion and not years of AUH for a shitty black man,1
56,European claims to be this Peruvian panchito,1
57,THEY HAVE FOR and agree on judge positions to connect friends with an annual expenditure of For pink antics mosquito nets cars sexist algorithms and etc For per ILLEGAL IMMIGRANT For their salaries YES,1
58,Tvez black shit second goalkeeper that you injure,1
59,YOU ARE AN IMMIGRANT More clear,1
60,Nice hair to cut with the knife said the shitty black man you can cut your mothers pussy with the hairs on my dick,1
61,What a stupid girl that the conchesumare immigrant is going to demand weas from her country,1
62,Osama Hosna immigrant Muslim and hero of the Vienna jihadist attack,1
63,This is how an illegal immigrant left the ear of a woman who owns a tobacconists shop in Pamplona because he didnt feel like paying for tobacco and the woman tried to stop him I imagine that Irene Montero will condemn it as intolerable sexist violence Oh no if he is darkskinned there is no crime,1
64,A complex situation was experienced last week after a naked immigrant was found causing damage to private cars on the streets of Santiago,1
65,That Trump is not disgusted by anything but he is not going to take a shit either,1
66,So is she an immigrant Even worse,1
67,Putin is very worried about what the stinking immigrant Ramos says,1
68,Its enough that you go to your fucking country sudaca,1
69,Mario does not believe in the Russian vaccine because he is a shitty black man who never studied and is also a shitty black man,1
70,Nothing will happen to her the immigrant belongs to an oppressed minority at risk of social exclusion if he becomes her boyfriend and Spaniard her life ruined and advertised with hype in the sixth In both cases the act would be equally bad but with different consequences for the author,1
71,back to the palm tree panchito bastard,1
72,This is intolerable We already see the results of empowering the illegal immigrant,1
73,Good thing you left you fucking nigga,1
74,There is more poverty than ever since you have entered How sad I think it is better to be an immigrant or come by boat they help you more to prosper Come on people continue to love this bunch Lets see who drinks a Cocacola in a bar now,1
75,How strong is HDP and the minister is not going to report this attack anyway because the aggressor is an immigrant and they have more right than us to pay either because she wont even have a bill a day in the cell and a sandwich and The street is like this it is Spain,1
76,Dont ever come back again black shit,1
77,For the one who works and breaks his back paying taxes thousands of times for a shitty black man who has no role who associates with a lawyer who turns away just like him and they want to take over what is not his everything is perfect how nice country what a beautiful city,1
78,Man a panchito,1
79,I dont want to sound xenophobic but in Colombia we need a Trump who will remove so many Venezuelan immigrants from us,1
80,Its about time screw that miserable guy who makes football look so horrible its a contact sport and everything but that shitty black guy bad news he screws up the whole thing that dick face falls off his ass,1
81,You can also take one and have your throat slit as happened with the immigrant terrorist who killed people and beheaded a black woman in Nice He arrived days early in Lampedusa,1
82,On top of terrible defending a murderer I hope he ends up in jail at least years shitty black man,1
83,This wild thing happened today in the center of Pamplona An illegal immigrant enters a tobacconists shop and asks for a pack of tobacco and tells him to charge the poor girl for it He comes out behind her and gets punched in the face by her telling her that he will stab her next time Follow,1
84,How is this scene similar to a real attack by an immigrant man on a woman That and the herd that follows them are silent like doors,1
85,You give the example of a lying immigrant Honest women do not want even one right to be taken away from us And those who commit a crime must go to jail,1
86,Sudaca son of a bitch,1
87,A rule of law should expel any immigrant who no longer works The Spaniard stays because it is his homeland Work and social resources should be only for nationals We will recapitulate against the stateless and globalist rulers I see a lot of brown in the queue,1
88,Child the boat thing is no longer normal Where the hell is the government stopping the fucking mafias There is nothing to eat for the people here much less to help so many immigrants pffff,1
89,Immigrant Junkie Aggressive Street situation What a nice immigration legacy from the previous government,1
90,I mean because hes an immigrant he can do whatever he wants lets continue the same and let them pass us by theyre totally foreigners they see it taking over but why the hell Chile should take over chub,1
91,Unfortunately in this landscape being an immigrant a thief a bisexual a homosexual those of us who have been working and contributing for years and they close our business we have NO right to ANYTHING nor do we have a future for free masks Does anyone answer me Please do it,1
92,Its not for nothing but my mom gets up at in the morning and today she went out early and wanted to lie down and you FUCKING BLACK WHY ARE YOU COME AND PLAYING COLON MUSIC ARE YOU FUCKING CRAZY WE ARE NOT ALL ALP LIKE YOU YOU OLD FUCK We all work here,1
93,another CastroChavista activist Go to her country to demand rights In which country do foreigners make constitutions or laws No wonder they put so many immigrants into us now we will be a colony if they continue to give wings to these infiltrators,1
94,YOU DONT NEED TO CONFESS THAT YOU CALL HOMER HOMER PANCHITO,1
95,Chile has the right to defend its border This country is reach and take Stop abusing and destroying Chile Not one more immigrant,1
96,The monkeyfaced shitty black guy Tvez should be standing still as long as Im fighting him HdP piece,1
97,Shut the fucking black ortho put the virus in the ortho and see if you like it Its good for you to have something stuffed inside your mothers shell you fucking loser,1
98,Have you already welcomed an illegal immigrant into your home,1
99,And until when do they allow so many immigrants We Chileans will have to sue the state and all those who are responsible for the betrayal of the country and the Chileans The treaties are not signed by Chileans but by traitors who want to steal our independence,1
100,Could this be considered High Treason by the Government Allow and not immediately repatriate every illegal immigrant who enters our country Can we know in the state of alarm we are in how the massive arrival of thousands of immigrants is allowed,1
101,You remain silent that you are a simple immigrant and there is still something to be decided by the supreme court and do not get excited because what the media does is defame Whoever wants socialism should come to Venezuela,1
102,Obviously not As an immigrant educated with the history of his country and who has no idea how the country works he is going to give his opinion on how Chileans should live Besides they cant be fake politicians,1
103,Immediate deportation Immigrant if you do not respect the Law if you do not respect Spain we do not accept you OUT,1
104,We are going to end up being an immigrant in our country for illegal immigration,1
105,What does an immigrant have to do in our Constitution They cannot make our bases they have to adhere to our bases not make them if they want to make them do them in their countries or dont you dare,1
106,Fucking nigga So With those words,1
107,So professional that he and the black shit Obama allowed the rebirth of communism in Latin America and the strengthening of the Cuban and Venezuelan dictatorship and the string of corrupt governments in the region as well as the existing Islamic terrorist legions,1
